Дата|Стоимость|Аэропорт отправления|Аэропорт прибытия|Время отправления|Время прибытия|Ссылка
13 нояб, чт|158.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|06:50|08:15|
18 окт, сб|158.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:05|
22 окт, ср|158.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:20|
06 нояб, чт|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|06:50|08:15|
08 нояб, сб|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|06:50|08:15|
08 нояб, сб|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:10|
08 нояб, сб|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:25|
08 нояб, сб|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|10:00|11:30|
09 нояб, вс|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|06:50|08:15|
10 нояб, пн|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:10|
10 нояб, пн|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:25|
10 нояб, пн|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|17:35|19:05|
11 нояб, вт|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|14:50|16:15|
11 нояб, вт|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:25|
12 нояб, ср|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:10|
12 нояб, ср|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:25|
12 нояб, ср|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|10:00|11:30|
12 нояб, ср|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|17:35|19:05|
12 нояб, ср|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|14:50|16:15|
13 нояб, чт|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|13:30|14:55|
13 нояб, чт|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:10|
13 нояб, чт|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:25|
13 нояб, чт|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|10:00|11:30|
13 нояб, чт|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|17:35|19:05|
14 нояб, пт|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|06:50|08:15|
14 нояб, пт|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|14:50|16:15|
14 нояб, пт|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:10|
17 окт, пт|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:05|
18 окт, сб|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:20|
18 окт, сб|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|06:45|08:10|
18 окт, сб|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|10:00|11:25|
18 окт, сб|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|17:35|19:00|
21 окт, вт|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|10:00|11:25|
21 окт, вт|193.75 Br|Минск (MSQ)|Домодедово, Москва (DME)|17:40|19:05|
21 окт, вт|193.75 Br|Минск (MSQ)|Внуково, Москва (VKO)|14:40|16:05|
21 окт, вт|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|19:55|21:20|
22 окт, ср|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|07:40|09:05|
22 окт, ср|193.75 Br|Минск (MSQ)|Шереметьево, Москва (SVO)|11:30|12:55|
